mes,year,hora,activity,sex,fatal,species
6,2018,tarde,paddeling,F,N,white shark
6,2018,tarde,fishing,F,N,unknown shark
6,2018,mañana,surfing,M,N,unknown shark
6,2018,unknown,surfing,M,N,other shark
6,2018,unknown,diving,M,N,tiger shark
6,2018,unknown,surfing,M,N,unknown shark
6,2018,tarde,other,M,Y,tiger shark
5,2018,unknown,fishing,M,N,other shark
5,2018,tarde,fishing,M,N,bull shark
5,2018,tarde,fishing,M,N,unknown shark
5,2018,mañana,other,M,N,reef shark
5,2018,unknown,surfing,M,N,unknown shark
5,2018,tarde,other,M,N,unknown shark
5,2018,mañana,fishing,M,N,unknown shark
0,2018,unknown,other,F,N,other shark
5,2018,mañana,surfing,M,N,unknown shark
5,2018,mañana,surfing,M,N,unknown shark
4,2018,unknown,other,M,N,unknown shark
4,2018,mañana,diving,M,N,tiger shark
4,2018,tarde,surfing,M,N,unknown shark
4,2018,mañana,surfing,M,N,other shark
4,2018,mañana,surfing,M,N,other shark
4,2018,tarde,surfing,M,N,white shark
4,2018,noche,fishing,M,N,tiger shark
4,2018,mañana,paddeling,M,N,white shark
4,2018,unknown,surfing,M,N,other shark
4,2018,unknown,other,M,N,bull shark
4,2018,unknown,other,M,U,unknown shark
4,2018,unknown,surfing,M,N,unknown shark
4,2018,mañana,surfing,M,N,unknown shark
4,2018,mañana,surfing,M,N,tiger shark
4,2018,unknown,fishing,M,N,unknown shark
4,2018,tarde,surfing,u,N,other shark
4,2018,tarde,other,M,N,bull shark
4,2018,tarde,surfing,M,N,white shark
3,2018,mañana,surfing,M,N,tiger shark
3,2018,tarde,other,M,N,other shark
3,2018,tarde,other,M,N,other shark
3,2018,mañana,surfing,M,N,other shark
2,2018,unknown,diving,M,N,other shark
2,2018,noche,other,F,N,white shark
2,2018,unknown,fishing,M,N,unknown shark
2,2018,tarde,fishing,M,N,bull shark
2,2018,tarde,other,F,N,other shark
2,2018,unknown,fishing,F,N,other shark
2,2018,unknown,diving,M,N,other shark
2,2018,unknown,fishing,M,N,other shark
1,2018,mañana,other,M,N,bull shark
1,2018,tarde,fishing,M,N,bull shark
1,2018,tarde,diving,M,N,reef shark
1,2018,unknown,diving,M,N,white shark
1,2018,tarde,surfing,M,N,other shark
1,2018,unknown,surfing,M,N,other shark
12,2017,tarde,surfing,F,N,tiger shark
12,2017,tarde,surfing,F,N,unknown shark
12,2017,unknown,other,M,N,other shark
12,2017,unknown,diving,F,N,other shark
11,2017,unknown,diving,M,N,tiger shark
11,2017,unknown,diving,F,Y,tiger shark
11,2017,unknown,sailing,u,Y,other shark
11,2017,tarde,fishing,M,N,white shark
11,2017,tarde,surfing,F,N,unknown shark
11,2017,unknown,surfing,M,N,unknown shark
11,2017,tarde,surfing,M,N,other shark
11,2017,noche,other,M,Y,tiger shark
10,2017,unknown,diving,M,N,other shark
10,2017,mañana,surfing,M,N,other shark
10,2017,tarde,surfing,M,N,unknown shark
10,2017,tarde,other,M,N,unknown shark
10,2017,tarde,surfing,M,N,unknown shark
10,2017,mañana,other,F,N,unknown shark
10,2017,tarde,fishing,F,N,white shark
10,2017,mañana,sailing,M,N,other shark
10,2017,tarde,other,M,N,spinner shark
10,2017,tarde,surfing,M,N,tiger shark
10,2017,tarde,diving,F,N,other shark
10,2017,unknown,diving,M,U,other shark
9,2017,mañana,surfing,M,N,other shark
9,2017,tarde,surfing,M,N,white shark
9,2017,tarde,surfing,M,U,other shark
9,2017,tarde,surfing,M,N,other shark
9,2017,mañana,surfing,M,N,unknown shark
9,2017,unknown,surfing,M,N,other shark
9,2017,tarde,surfing,M,N,unknown shark
9,2017,tarde,diving,M,U,unknown shark
9,2017,unknown,fishing,M,N,unknown shark
9,2017,unknown,fishing,u,N,white shark
9,2017,tarde,surfing,M,N,other shark
9,2017,tarde,other,M,N,unknown shark
9,2017,mañana,surfing,M,N,white shark
9,2017,unknown,fishing,M,N,unknown shark
9,2017,mañana,other,M,Y,unknown shark
9,2017,mañana,surfing,M,N,unknown shark
9,2017,unknown,other,M,N,other shark
9,2017,unknown,other,F,N,unknown shark
9,2017,mañana,surfing,M,N,unknown shark
8,2017,mañana,surfing,M,N,white shark
8,2017,tarde,other,F,N,unknown shark
8,2017,unknown,other,F,U,other shark
8,2017,unknown,sailing,M,N,unknown shark
8,2017,mañana,other,M,N,white shark
8,2017,tarde,fishing,M,N,other shark
8,2017,tarde,other,M,N,other shark
8,2017,unknown,diving,F,N,white shark
8,2017,noche,fishing,M,N,other shark
8,2017,mañana,fishing,M,N,white shark
7,2017,tarde,surfing,M,N,unknown shark
7,2017,tarde,other,M,U,other shark
7,2017,tarde,other,F,N,unknown shark
7,2017,unknown,diving,F,N,unknown shark
7,2017,unknown,fishing,M,N,unknown shark
7,2017,tarde,surfing,M,N,unknown shark
7,2017,unknown,other,F,N,tiger shark
7,2017,tarde,other,F,N,other shark
7,2017,tarde,other,F,N,other shark
7,2017,unknown,other,F,U,unknown shark
7,2017,mañana,sailing,M,N,white shark
7,2017,mañana,other,M,N,white shark
7,2017,tarde,surfing,M,N,white shark
7,2017,mañana,surfing,M,N,unknown shark
7,2017,mañana,sailing,M,N,white shark
7,2017,tarde,other,M,N,bull shark
7,2017,unknown,fishing,M,N,tiger shark
7,2017,tarde,surfing,F,N,white shark
7,2017,unknown,fishing,u,U,unknown shark
6,2017,noche,fishing,M,U,other shark
6,2017,unknown,other,F,N,unknown shark
6,2017,mañana,surfing,M,N,unknown shark
6,2017,unknown,other,F,N,bull shark
6,2017,mañana,surfing,M,N,bull shark
6,2017,tarde,other,M,N,unknown shark
0,2017,unknown,surfing,M,N,unknown shark
6,2017,unknown,other,F,N,unknown shark
6,2017,mañana,surfing,M,N,white shark
6,2017,tarde,surfing,F,N,other shark
6,2017,mañana,surfing,M,N,unknown shark
6,2017,unknown,surfing,M,N,other shark
6,2017,unknown,fishing,M,N,other shark
6,2017,tarde,diving,F,N,tiger shark
5,2017,unknown,other,F,N,other shark
5,2017,mañana,other,M,N,tiger shark
5,2017,unknown,fishing,M,N,unknown shark
5,2017,mañana,fishing,M,N,unknown shark
5,2017,unknown,other,M,N,other shark
5,2017,tarde,diving,M,Y,unknown shark
5,2017,tarde,surfing,F,U,other shark
4,2017,tarde,other,F,N,unknown shark
4,2017,tarde,surfing,M,N,unknown shark
4,2017,mañana,surfing,F,N,unknown shark
4,2017,mañana,surfing,M,Y,unknown shark
4,2017,tarde,surfing,F,N,unknown shark
4,2017,unknown,other,F,U,other shark
4,2017,tarde,diving,F,N,unknown shark
4,2017,mañana,other,M,U,unknown shark
4,2017,tarde,other,u,N,unknown shark
4,2017,tarde,surfing,F,Y,white shark
4,2017,mañana,surfing,M,N,tiger shark
4,2017,tarde,surfing,M,N,unknown shark
4,2017,tarde,surfing,F,N,unknown shark
4,2017,unknown,diving,M,U,unknown shark
4,2017,tarde,surfing,F,N,unknown shark
4,2017,tarde,surfing,F,N,unknown shark
4,2017,tarde,other,F,N,unknown shark
4,2017,unknown,other,M,N,unknown shark
4,2017,tarde,other,F,N,unknown shark
4,2017,tarde,other,M,N,unknown shark
4,2017,tarde,other,F,N,bull shark
3,2017,mañana,surfing,M,N,unknown shark
3,2017,tarde,surfing,M,N,unknown shark
3,2017,tarde,sailing,M,N,white shark
3,2017,unknown,fishing,M,N,other shark
3,2017,unknown,other,M,N,other shark
2,2017,mañana,diving,F,N,bull shark
2,2017,mañana,surfing,M,N,unknown shark
2,2017,mañana,surfing,M,Y,unknown shark
2,2017,mañana,fishing,M,N,unknown shark
2,2017,tarde,other,M,N,unknown shark
2,2017,tarde,other,F,N,other shark
2,2017,unknown,fishing,M,N,tiger shark
2,2017,unknown,other,u,N,white shark
2,2017,unknown,diving,M,N,reef shark
1,2017,tarde,other,M,N,unknown shark
1,2017,tarde,other,M,N,unknown shark
1,2017,tarde,diving,M,N,bull shark
1,2017,tarde,other,M,N,unknown shark
1,2017,mañana,other,M,N,unknown shark
1,2017,mañana,surfing,M,N,bull shark
1,2017,unknown,fishing,M,U,bull shark
1,2017,tarde,other,M,N,unknown shark
1,2017,tarde,other,M,U,unknown shark
12,2016,tarde,surfing,M,N,unknown shark
12,2016,mañana,diving,F,N,other shark
12,2016,mañana,surfing,M,N,white shark
12,2016,mañana,diving,M,N,unknown shark
12,2016,unknown,fishing,M,N,unknown shark
12,2016,tarde,surfing,M,U,unknown shark
12,2016,madrugada,surfing,M,N,other shark
12,2016,mañana,surfing,M,N,white shark
11,2016,mañana,fishing,M,N,other shark
11,2016,mañana,other,F,N,tiger shark
10,2016,tarde,surfing,M,N,unknown shark
10,2016,tarde,surfing,M,N,unknown shark
10,2016,mañana,surfing,M,N,unknown shark
10,2016,tarde,surfing,M,N,other shark
10,2016,tarde,surfing,M,N,unknown shark
10,2016,mañana,diving,F,N,unknown shark
10,2016,unknown,diving,M,U,white shark
10,2016,mañana,surfing,M,N,unknown shark
10,2016,tarde,surfing,M,N,unknown shark
10,2016,mañana,surfing,M,N,unknown shark
10,2016,tarde,surfing,M,N,unknown shark
9,2016,unknown,surfing,M,N,white shark
9,2016,tarde,surfing,M,N,unknown shark
9,2016,mañana,surfing,M,N,unknown shark
9,2016,mañana,surfing,M,N,unknown shark
9,2016,unknown,surfing,M,N,unknown shark
9,2016,unknown,surfing,M,N,unknown shark
9,2016,unknown,surfing,M,N,other shark
9,2016,unknown,fishing,u,N,unknown shark
9,2016,tarde,other,M,N,other shark
9,2016,tarde,other,F,N,tiger shark
9,2016,tarde,surfing,M,Y,unknown shark
9,2016,tarde,surfing,F,N,unknown shark
9,2016,tarde,surfing,M,N,unknown shark
9,2016,unknown,surfing,M,N,unknown shark
9,2016,unknown,fishing,M,N,white shark
9,2016,unknown,diving,u,U,unknown shark
8,2016,tarde,surfing,M,N,bull shark
8,2016,tarde,surfing,M,N,unknown shark
8,2016,tarde,surfing,M,N,bull shark
8,2016,tarde,other,M,N,unknown shark
8,2016,unknown,diving,M,N,unknown shark
8,2016,tarde,surfing,M,N,tiger shark
8,2016,unknown,surfing,M,N,other shark
7,2016,mañana,other,M,N,other shark
7,2016,unknown,other,M,N,unknown shark
7,2016,unknown,sailing,M,N,white shark
7,2016,unknown,other,M,N,other shark
7,2016,tarde,surfing,M,N,unknown shark
7,2016,noche,surfing,M,N,unknown shark
7,2016,unknown,surfing,M,N,unknown shark
7,2016,unknown,fishing,M,N,bull shark
7,2016,unknown,fishing,M,N,reef shark
7,2016,unknown,fishing,u,N,tiger shark
7,2016,unknown,surfing,F,N,unknown shark
7,2016,mañana,other,F,N,unknown shark
7,2016,tarde,surfing,M,N,white shark
7,2016,unknown,other,M,N,unknown shark
7,2016,unknown,diving,M,N,other shark
7,2016,unknown,other,F,N,other shark
7,2016,unknown,fishing,M,N,white shark
7,2016,mañana,fishing,M,N,other shark
7,2016,unknown,fishing,M,N,white shark
7,2016,tarde,other,F,N,unknown shark
7,2016,noche,fishing,M,N,other shark
6,2016,tarde,other,M,N,other shark
6,2016,tarde,surfing,M,N,unknown shark
6,2016,mañana,diving,M,N,reef shark
6,2016,unknown,fishing,M,N,white shark
6,2016,tarde,other,M,N,other shark
6,2016,tarde,other,M,N,unknown shark
6,2016,mañana,surfing,M,N,other shark
6,2016,unknown,fishing,M,N,other shark
6,2016,tarde,other,F,N,other shark
6,2016,tarde,fishing,M,N,other shark
6,2016,mañana,surfing,M,U,other shark
6,2016,mañana,other,M,N,unknown shark
6,2016,mañana,diving,F,Y,other shark
6,2016,mañana,other,M,N,other shark
6,2016,unknown,fishing,M,U,other shark
6,2016,tarde,surfing,M,N,other shark
5,2016,tarde,surfing,M,Y,white shark
5,2016,tarde,other,F,N,unknown shark
5,2016,tarde,other,M,N,other shark
5,2016,tarde,other,F,N,unknown shark
5,2016,tarde,other,F,N,bull shark
5,2016,tarde,other,F,N,unknown shark
5,2016,mañana,other,M,N,other shark
5,2016,tarde,other,F,N,other shark
5,2016,tarde,other,M,N,unknown shark
5,2016,tarde,fishing,M,N,other shark
4,2016,mañana,surfing,M,N,bull shark
4,2016,tarde,surfing,M,N,unknown shark
4,2016,mañana,surfing,M,N,white shark
4,2016,tarde,other,M,N,other shark
4,2016,mañana,fishing,M,U,reef shark
4,2016,mañana,fishing,M,N,reef shark
4,2016,unknown,fishing,M,N,bull shark
4,2016,mañana,fishing,F,Y,tiger shark
4,2016,unknown,other,M,U,unknown shark
4,2016,unknown,fishing,M,N,other shark
4,2016,unknown,other,M,U,unknown shark
3,2016,mañana,diving,F,N,unknown shark
3,2016,noche,surfing,M,N,unknown shark
3,2016,unknown,other,M,U,unknown shark
3,2016,mañana,surfing,M,N,unknown shark
3,2016,unknown,other,M,N,other shark
3,2016,mañana,surfing,u,U,unknown shark
3,2016,tarde,surfing,M,N,unknown shark
3,2016,tarde,diving,M,Y,unknown shark
3,2016,tarde,other,M,N,unknown shark
3,2016,unknown,fishing,M,N,other shark
3,2016,unknown,other,M,N,tiger shark
2,2016,noche,surfing,M,N,unknown shark
2,2016,tarde,fishing,M,N,unknown shark
2,2016,tarde,other,F,N,unknown shark
2,2016,unknown,other,M,U,other shark
2,2016,tarde,surfing,M,U,other shark
2,2016,tarde,fishing,F,N,unknown shark
2,2016,tarde,surfing,M,N,unknown shark
2,2016,unknown,other,M,N,tiger shark
1,2016,unknown,fishing,M,N,unknown shark
1,2016,tarde,surfing,M,N,reef shark
1,2016,mañana,surfing,F,N,unknown shark
1,2016,mañana,fishing,M,N,bull shark
1,2016,unknown,fishing,M,N,other shark
1,2016,mañana,surfing,M,N,tiger shark
1,2016,unknown,surfing,M,N,other shark
1,2016,tarde,other,M,N,other shark
1,2016,mañana,fishing,M,N,other shark
12,2015,mañana,fishing,M,N,white shark
12,2015,unknown,other,F,N,other shark
12,2015,mañana,surfing,M,N,other shark
12,2015,mañana,surfing,M,N,other shark
12,2015,unknown,diving,M,N,tiger shark
12,2015,unknown,other,M,Y,unknown shark
12,2015,mañana,fishing,u,N,white shark
12,2015,unknown,fishing,M,N,bull shark
12,2015,mañana,other,F,N,unknown shark
11,2015,mañana,diving,M,N,other shark
11,2015,tarde,surfing,M,N,unknown shark
11,2015,mañana,other,F,N,unknown shark
11,2015,unknown,surfing,M,N,spinner shark
11,2015,tarde,surfing,M,N,bull shark
11,2015,mañana,surfing,F,U,unknown shark
11,2015,mañana,other,M,N,unknown shark
11,2015,tarde,other,F,N,other shark
11,2015,madrugada,fishing,M,N,unknown shark
10,2015,unknown,fishing,M,N,unknown shark
10,2015,tarde,surfing,M,N,unknown shark
10,2015,tarde,surfing,M,N,white shark
10,2015,tarde,surfing,M,N,other shark
10,2015,tarde,surfing,M,N,spinner shark
10,2015,unknown,fishing,F,Y,unknown shark
10,2015,noche,surfing,M,U,other shark
10,2015,mañana,other,M,N,tiger shark
10,2015,mañana,fishing,M,N,hammerhead shark
10,2015,tarde,surfing,F,N,unknown shark
10,2015,mañana,surfing,M,N,tiger shark
10,2015,unknown,fishing,M,N,unknown shark
10,2015,tarde,surfing,M,N,unknown shark
10,2015,tarde,surfing,M,N,unknown shark
10,2015,mañana,other,M,N,other shark
10,2015,mañana,surfing,M,N,other shark
9,2015,tarde,surfing,M,N,other shark
9,2015,tarde,diving,F,N,unknown shark
9,2015,mañana,fishing,M,N,white shark
9,2015,tarde,surfing,M,N,other shark
9,2015,tarde,fishing,M,N,tiger shark
9,2015,tarde,other,M,N,other shark
9,2015,mañana,fishing,M,N,unknown shark
9,2015,unknown,fishing,M,N,hammerhead shark
9,2015,noche,other,M,N,unknown shark
9,2015,tarde,surfing,M,N,unknown shark
9,2015,mañana,surfing,M,N,other shark
9,2015,tarde,surfing,F,N,white shark
9,2015,tarde,fishing,M,N,hammerhead shark
9,2015,mañana,surfing,M,N,white shark
9,2015,tarde,other,M,N,other shark
9,2015,mañana,other,F,N,other shark
9,2015,unknown,fishing,M,N,tiger shark
8,2015,mañana,surfing,F,N,white shark
8,2015,mañana,surfing,M,N,white shark
8,2015,noche,other,M,U,unknown shark
8,2015,tarde,surfing,M,N,unknown shark
8,2015,tarde,surfing,M,N,other shark
8,2015,tarde,fishing,F,N,other shark
8,2015,mañana,fishing,M,N,white shark
8,2015,mañana,other,M,U,unknown shark
8,2015,mañana,fishing,M,N,hammerhead shark
7,2015,mañana,surfing,M,N,white shark
7,2015,unknown,surfing,M,N,unknown shark
7,2015,unknown,surfing,M,U,unknown shark
7,2015,noche,surfing,M,N,spinner shark
7,2015,mañana,other,F,U,unknown shark
7,2015,mañana,diving,M,Y,white shark
7,2015,unknown,fishing,M,N,other shark
7,2015,unknown,surfing,M,N,other shark
7,2015,unknown,surfing,M,N,bull shark
7,2015,unknown,surfing,M,N,white shark
7,2015,mañana,surfing,M,N,white shark
7,2015,unknown,fishing,M,U,unknown shark
7,2015,unknown,other,M,U,other shark
7,2015,unknown,fishing,F,N,other shark
7,2015,noche,other,M,N,unknown shark
7,2015,mañana,surfing,M,N,white shark
7,2015,mañana,surfing,M,N,white shark
7,2015,tarde,other,M,N,other shark
6,2015,unknown,surfing,M,N,unknown shark
6,2015,tarde,other,M,N,other shark
6,2015,tarde,other,M,N,bull shark
6,2015,tarde,surfing,M,N,white shark
6,2015,noche,other,F,U,unknown shark
6,2015,tarde,surfing,M,N,white shark
6,2015,mañana,fishing,M,N,other shark
6,2015,unknown,other,M,N,other shark
6,2015,mañana,surfing,M,N,unknown shark
6,2015,tarde,other,M,N,tiger shark
6,2015,mañana,surfing,F,N,white shark
6,2015,unknown,fishing,M,N,other shark
6,2015,mañana,fishing,M,N,unknown shark
6,2015,tarde,other,M,N,unknown shark
6,2015,tarde,other,M,N,bull shark
6,2015,tarde,other,F,N,bull shark
6,2015,unknown,other,F,N,other shark
6,2015,tarde,surfing,F,N,other shark
6,2015,mañana,other,M,N,bull shark
6,2015,unknown,other,F,N,other shark
6,2015,tarde,surfing,M,N,bull shark
5,2015,tarde,fishing,F,N,unknown shark
5,2015,tarde,other,F,N,unknown shark
5,2015,mañana,fishing,M,N,other shark
5,2015,unknown,other,F,N,unknown shark
0,2015,mañana,surfing,M,N,other shark
5,2015,tarde,other,M,N,other shark
5,2015,unknown,diving,M,Y,bull shark
5,2015,tarde,other,M,N,unknown shark
5,2015,tarde,surfing,M,N,white shark
5,2015,tarde,diving,M,N,white shark
4,2015,mañana,diving,F,Y,unknown shark
4,2015,tarde,other,M,N,other shark
4,2015,mañana,surfing,M,N,white shark
6,2015,mañana,surfing,M,N,white shark
4,2015,unknown,other,M,N,other shark
4,2015,mañana,surfing,M,Y,bull shark
4,2015,mañana,surfing,M,N,unknown shark
4,2015,tarde,fishing,M,N,bull shark
3,2015,unknown,diving,M,U,unknown shark
3,2015,mañana,surfing,M,U,other shark
3,2015,unknown,fishing,M,N,white shark
3,2015,unknown,other,M,Y,other shark
3,2015,mañana,diving,M,N,tiger shark
3,2015,mañana,other,M,N,other shark
3,2015,mañana,fishing,M,N,unknown shark
3,2015,mañana,fishing,M,N,unknown shark
3,2015,unknown,other,M,N,reef shark
2,2015,unknown,sailing,u,N,white shark
2,2015,tarde,other,F,Y,tiger shark
2,2015,mañana,surfing,M,Y,other shark
2,2015,mañana,surfing,M,N,other shark
2,2015,unknown,surfing,M,N,other shark
1,2015,madrugada,sailing,M,N,bull shark
1,2015,madrugada,fishing,M,N,other shark
1,2015,unknown,surfing,M,N,unknown shark
1,2015,tarde,other,M,N,unknown shark
1,2015,unknown,fishing,M,N,white shark
1,2015,unknown,surfing,F,U,unknown shark
1,2015,tarde,fishing,M,N,other shark
1,2015,unknown,other,M,N,other shark
1,2015,unknown,surfing,M,U,other shark
1,2015,tarde,diving,F,N,white shark
1,2015,mañana,surfing,M,N,other shark
1,2015,tarde,other,M,N,other shark
12,2014,mañana,surfing,u,N,other shark
12,2014,mañana,fishing,M,Y,white shark
12,2014,unknown,other,u,N,other shark
12,2014,mañana,other,u,U,unknown shark
12,2014,mañana,surfing,M,N,white shark
12,2014,mañana,fishing,M,N,other shark
12,2014,unknown,diving,M,N,other shark
12,2014,mañana,fishing,M,Y,tiger shark
12,2014,mañana,fishing,M,N,unknown shark
11,2014,mañana,surfing,M,N,unknown shark
11,2014,unknown,fishing,M,Y,unknown shark
11,2014,unknown,fishing,M,N,white shark
11,2014,unknown,other,u,N,white shark
11,2014,tarde,surfing,M,N,other shark
11,2014,tarde,diving,M,N,other shark
11,2014,mañana,surfing,M,N,unknown shark
11,2014,tarde,surfing,M,N,unknown shark
10,2014,mañana,surfing,F,N,tiger shark
10,2014,tarde,surfing,M,N,unknown shark
10,2014,mañana,surfing,F,N,tiger shark
10,2014,mañana,surfing,M,N,unknown shark
10,2014,unknown,sailing,F,N,unknown shark
10,2014,mañana,surfing,M,N,other shark
10,2014,mañana,surfing,F,N,other shark
10,2014,unknown,fishing,F,N,bull shark
10,2014,tarde,surfing,F,N,unknown shark
10,2014,tarde,sailing,M,N,unknown shark
10,2014,mañana,surfing,M,N,other shark
10,2014,tarde,fishing,F,N,unknown shark
10,2014,mañana,surfing,M,N,other shark
10,2014,tarde,sailing,M,N,white shark
10,2014,mañana,sailing,M,N,white shark
10,2014,tarde,surfing,M,N,other shark
10,2014,mañana,surfing,M,N,white shark
9,2014,mañana,surfing,M,N,unknown shark
9,2014,unknown,fishing,F,N,other shark
9,2014,tarde,surfing,M,U,other shark
9,2014,mañana,other,M,Y,other shark
9,2014,tarde,fishing,M,N,bull shark
9,2014,tarde,sailing,F,N,white shark
9,2014,noche,fishing,M,N,other shark
9,2014,unknown,other,M,N,unknown shark
8,2014,tarde,surfing,F,N,spinner shark
8,2014,unknown,surfing,M,N,spinner shark
8,2014,tarde,other,u,U,unknown shark
8,2014,unknown,fishing,M,N,unknown shark
8,2014,unknown,other,F,N,other shark
8,2014,unknown,surfing,M,N,other shark
8,2014,tarde,fishing,F,N,unknown shark
8,2014,unknown,fishing,M,N,bull shark
8,2014,unknown,surfing,u,N,other shark
8,2014,unknown,fishing,M,N,reef shark
8,2014,mañana,fishing,M,N,bull shark
8,2014,unknown,other,M,N,unknown shark
8,2014,unknown,fishing,M,N,bull shark
8,2014,tarde,other,F,N,unknown shark
8,2014,tarde,other,M,N,bull shark
8,2014,tarde,surfing,M,N,other shark
8,2014,unknown,other,F,N,unknown shark
8,2014,unknown,surfing,M,N,unknown shark
8,2014,tarde,surfing,M,N,unknown shark
8,2014,tarde,surfing,M,N,white shark
8,2014,unknown,other,M,U,unknown shark
7,2014,unknown,other,M,N,tiger shark
7,2014,tarde,surfing,M,N,other shark
7,2014,tarde,fishing,M,N,unknown shark
7,2014,unknown,other,u,N,other shark
7,2014,tarde,other,M,N,other shark
7,2014,tarde,other,M,N,other shark
7,2014,unknown,diving,M,U,unknown shark
7,2014,unknown,surfing,M,N,unknown shark
7,2014,tarde,surfing,M,N,unknown shark
7,2014,mañana,other,M,N,white shark
7,2014,mañana,surfing,M,N,unknown shark
7,2014,tarde,surfing,M,N,other shark
6,2014,unknown,sailing,M,N,white shark
6,2014,tarde,fishing,M,N,reef shark
6,2014,tarde,surfing,M,N,unknown shark
6,2014,tarde,surfing,M,N,unknown shark
6,2014,unknown,other,M,N,other shark
6,2014,unknown,fishing,M,N,unknown shark
6,2014,tarde,fishing,M,N,other shark
6,2014,mañana,surfing,M,N,other shark
6,2014,tarde,surfing,M,N,unknown shark
6,2014,tarde,other,F,N,unknown shark
6,2014,tarde,other,F,N,bull shark
6,2014,mañana,surfing,M,N,unknown shark
6,2014,unknown,other,F,N,reef shark
5,2014,unknown,other,F,N,bull shark
5,2014,mañana,diving,M,N,other shark
5,2014,unknown,other,M,N,other shark
5,2014,mañana,surfing,F,N,unknown shark
5,2014,mañana,surfing,M,N,white shark
0,2014,mañana,other,F,N,unknown shark
5,2014,unknown,surfing,M,N,unknown shark
5,2014,unknown,diving,M,U,other shark
5,2014,tarde,other,F,N,other shark
5,2014,unknown,diving,u,N,other shark
5,2014,tarde,surfing,M,N,other shark
4,2014,unknown,fishing,M,N,reef shark
4,2014,tarde,other,M,N,unknown shark
4,2014,mañana,other,M,N,unknown shark
4,2014,unknown,other,u,N,white shark
4,2014,mañana,fishing,M,N,other shark
4,2014,tarde,surfing,M,N,unknown shark
4,2014,tarde,surfing,M,N,unknown shark
4,2014,mañana,other,F,Y,white shark
3,2014,tarde,diving,M,U,unknown shark
3,2014,tarde,other,M,Y,other shark
3,2014,unknown,surfing,M,N,other shark
3,2014,unknown,surfing,M,N,unknown shark
3,2014,tarde,surfing,M,N,unknown shark
3,2014,mañana,surfing,M,N,unknown shark
3,2014,tarde,other,F,U,other shark
3,2014,tarde,other,M,N,other shark
3,2014,unknown,diving,M,U,unknown shark
3,2014,unknown,surfing,M,N,spinner shark
2,2014,tarde,surfing,M,N,reef shark
2,2014,unknown,sailing,M,N,unknown shark
2,2014,tarde,diving,M,Y,unknown shark
2,2014,unknown,fishing,M,N,unknown shark
2,2014,noche,surfing,M,N,other shark
1,2014,unknown,fishing,M,N,other shark
1,2014,unknown,fishing,M,N,other shark
1,2014,unknown,other,M,N,unknown shark
0,2014,unknown,diving,M,N,white shark
0,2014,unknown,other,u,N,white shark
12,2013,mañana,diving,M,N,bull shark
12,2013,mañana,surfing,M,N,white shark
12,2013,unknown,fishing,M,N,unknown shark
12,2013,mañana,surfing,M,N,tiger shark
12,2013,tarde,surfing,M,N,other shark
12,2013,tarde,surfing,M,N,other shark
12,2013,mañana,fishing,M,Y,unknown shark
11,2013,tarde,surfing,M,Y,tiger shark
0,2013,tarde,diving,F,N,unknown shark
11,2013,mañana,surfing,M,Y,white shark
11,2013,mañana,surfing,M,N,white shark
11,2013,tarde,surfing,M,N,white shark
11,2013,mañana,fishing,M,N,unknown shark
11,2013,tarde,surfing,M,N,unknown shark
11,2013,unknown,surfing,M,N,unknown shark
10,2013,tarde,surfing,M,N,tiger shark
10,2013,tarde,diving,F,N,reef shark
10,2013,tarde,surfing,M,N,bull shark
10,2013,mañana,diving,M,N,white shark
10,2013,tarde,surfing,M,N,other shark
10,2013,tarde,diving,M,N,white shark
10,2013,mañana,surfing,M,N,tiger shark
10,2013,tarde,other,M,N,other shark
10,2013,mañana,diving,M,Y,white shark
10,2013,mañana,diving,M,N,white shark
10,2013,mañana,surfing,M,N,white shark
10,2013,tarde,other,M,N,bull shark
9,2013,mañana,surfing,M,N,unknown shark
9,2013,mañana,diving,M,N,unknown shark
9,2013,mañana,fishing,M,N,unknown shark
9,2013,tarde,other,M,N,unknown shark
9,2013,mañana,surfing,M,N,unknown shark
9,2013,tarde,other,M,N,bull shark
9,2013,tarde,surfing,F,N,other shark
9,2013,unknown,other,F,U,unknown shark
9,2013,tarde,surfing,M,N,other shark
9,2013,tarde,fishing,M,N,other shark
9,2013,tarde,other,M,N,unknown shark
9,2013,unknown,other,M,N,other shark
9,2013,unknown,other,M,N,unknown shark
9,2013,tarde,other,M,N,other shark
8,2013,unknown,fishing,M,N,other shark
8,2013,noche,other,M,N,other shark
8,2013,unknown,other,F,U,other shark
8,2013,noche,fishing,M,N,other shark
8,2013,tarde,surfing,F,N,unknown shark
8,2013,tarde,other,M,N,unknown shark
8,2013,tarde,surfing,M,N,unknown shark
8,2013,tarde,surfing,F,N,white shark
8,2013,tarde,diving,F,Y,tiger shark
8,2013,tarde,surfing,F,N,unknown shark
8,2013,tarde,surfing,M,N,bull shark
8,2013,unknown,other,M,N,other shark
8,2013,tarde,fishing,M,N,bull shark
7,2013,mañana,diving,F,N,unknown shark
7,2013,unknown,other,M,N,unknown shark
7,2013,tarde,fishing,M,N,other shark
7,2013,mañana,other,F,N,unknown shark
7,2013,tarde,surfing,M,N,tiger shark
7,2013,tarde,fishing,M,N,other shark
7,2013,mañana,diving,M,N,unknown shark
7,2013,tarde,other,F,Y,unknown shark
